username,tweet_id,created_at,content,retweets,favs
PODEMGirona,1356272291601133569,2021-02-01 16:04:47,"▶️ @JessicaAlbiach: “Sr Aragonès, això no va d'un partit, va d'un país, i cal escollir.

#DebateCATrtve https://t.co/b326RNIESB",0,1
PODEMGirona,1356271783431778306,2021-02-01 16:02:46,"📺 @jessicaalbiach: “El Gobierno ha aumentado el presupuesto en sanidad en un 150% mientras la Generalitat sigue llenando los bolsillos de los centros privados.

@jessicaalbiach en el #DebateCATrtve https://t.co/QOy1DhGHE3",2,1
CiudadanosCs,1356271591290789892,2021-02-01 16:02:00,"💥 ¡No te pierdas uno de los mejores momentos de @carrizosacarlos en el #DebateCATrtve!

⛔️ ¡Basta ya de dar manga ancha a los manifestantes separatistas y no dar tregua a pymes y comercios!

📽️ ""Exigimos igualdad de trato para todos los ciudadanos"" https://t.co/QmQKefOMaT",25,37
AguaYRoca,1356270936278896643,2021-02-01 15:59:24,La serpiente del Paraíso. Dibujo con rotuladores. #arte #art #dibujo #rotuladores #DebateCATrtve https://t.co/6pcVdIIqdN,2,2
aaronfesa,1356268750631301121,2021-02-01 15:50:43,"El meu rànquing del #DebateCATrtve 

🥇Alejandro Fernández
🥈Salvador Illa
🥉Àngels Chacón
4. Laura Borràs
5. Pere Aragonès
6. Jéssica Albiach
7. Ignacio Garriga
8. Carles Riera
9. Carlos Carrizosa

(En cap moment valoro les idees). https://t.co/ASZ6nDl0fq",0,0
Arnau_BR,1356267472094167041,2021-02-01 15:45:38,#14F #DebateCATrtve #EleccionsCatalanes #ERC #PSC #PP #ciutadans #Podemos #JxCat #CUP,0,0
judithbonetr,1356266172191281152,2021-02-01 15:40:28,"El meu rànquing del #DebateCATrtve 
🥇Laura Borràs
🥈Alejandro Fernández
🥉Àngels Chacón
4. Jéssica Albiach
5. Carles Riera
6. Salvador Illa
7. Pere Aragonès
8. Carlos Carrizosa
9. Ignacio Garriga https://t.co/rwd2dJeuaT",0,4
hipoteking,1356265947540160515,2021-02-01 15:39:34,"Pregunta seriosa: algú ha comprovat les audiències del
#DebateCATrtve a la resta de províncies no catalanes?
Més que res, per posar en valor aquesta polèmica artificial sobre la llengua, quan potser el que s'hauria de qüestionar és si realment calia emetre per tot l'estat",0,0
salvametralla,1356264644730564617,2021-02-01 15:34:24,"@MingoT_80 @abengoashares @TrabajadoresAbg @ugtsevilla @ccoosevilla #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",13,13
todopueblo,1356262756308160522,2021-02-01 15:26:53,".@FrontRoger .@Kaitomanker .@xiqueta71 
#DebateCATrtve https://t.co/8mG35GouoW",0,0
Ivi___Z,1356261171209392137,2021-02-01 15:20:35,"Del #DebateCATrtve de ayer: sospecho que Puigdemont ha entrado en pánico al ver el papel de @LauraBorras : acojonada, irrelevante, sin ideas... nada que ver con lo ""chula"" que es en Twitter (lleva su propia cuenta?). Creo que en Waterloo se están arrepintiendo de muchas cosas.",0,1
salvametralla,1356260380008472577,2021-02-01 15:17:27,"@Ssott5 @abengoashares #Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",5,7
Oasisinvisible,1356260167478870020,2021-02-01 15:16:36,#DebateCATrtve Si alguien ha visto el debate...ESTO ES CATALUÑA !!!  En un programa para toda España....con traducción simultánea debido a paletos con barretina  virtual. PERO AL FINAL..PARA PEDIR EL VOTO...EN ESPAÑOL HABLAN!!!!!   IROS A T.P.C CATALUÑISTAS DE Mxxxxx,1,1
Blancr1,1356258099338817536,2021-02-01 15:08:23,Aquesta gent cada vegada estan més sonats. Volen que els votem i ens parlen en una llengua que no entenem. #DebateCATrtve https://t.co/sUtBDkgOcI,1,0
paikinho,1356257604385857536,2021-02-01 15:06:25,"El que no entenc és que s’hagi d’arribar fins a l’hora que s’inicia el #DebateCATrtve per preguntar en viu quina llengua es parla. Que no ho van aclarir abans? I si estava clar, i es una maniobra de l’unionisme per deixar malament al català, per que no ho diuen i marxen de plató?",0,0
danimarighella,1356254789429030912,2021-02-01 14:55:14,Volia conèixer millor la Jessica. Em vaig semblar una candidate molt interessant al #DebateCATrtve https://t.co/4MLuADwYLS,0,0
carlos_bg99,1356247561930158083,2021-02-01 14:26:31,Me encanta ver a Salvador Illa en un contexto tan diferente. Es como si tuviera su propio spin off.  #DebateCATrtve https://t.co/zt46EdzEQo,0,2
RTVECatalunya,1356241966099554304,2021-02-01 14:04:17,"⚡️L'Informatiu #AlaCarta

✔️ @salutcat rep amb retard 70.000 noves dosis de vacunes

✔️ Cues pel vot anticipat a les oficines de @Correos per la caiguda del sistema informàtic

✔️ Retrets entre els candidats per la gestió de la pandèmia al #DebateCATrtve 

https://t.co/4JwkXHzHzE",2,3
eduzalez,1356240826737844226,2021-02-01 13:59:45,Els debats #DebateCATrtve de @rtve serveixen perquè hi hagi acarnissament i menyspreu per la nostra llengua i cultura. Increíble la quantitat d'odi i intolerància de la gent. Quanta ignorància...,0,0
